Time Bucket (Europe/London),Dalys Seafoods-Mains_A (kWhs),Dalys Seafoods-Mains_B (kWhs),Dalys Seafoods-Mains_C (kWhs),Dalys Seafoods-Room/Multi-use Circuit-Sheds & Container Cold Rooms (kWhs),Dalys Seafoods-Other-Slicing Room (kWhs),Dalys Seafoods-Other-Big Freezer (kWhs),Dalys Seafoods-Other-Finished Smoked Cold Room (kWhs),Dalys Seafoods-Other-Big Cold Room (kWhs),Dalys Seafoods-Other-Smoker (kWhs)
03/04/2025 00:00:00,59.0056,74.3898,72.1731,112.8641,0.3270,41.3742,0.0231,33.7295,0.8712
03/05/2025 00:00:00,201.3981,259.4606,258.6689,372.7280,1.1925,132.5308,0.0721,107.5967,2.6320
03/06/2025 00:00:00,183.2087,233.0150,232.2740,370.5194,1.1211,131.8151,0.0638,87.8229,2.6078
03/07/2025 00:00:00,241.9733,320.9826,317.8858,371.8327,1.0050,137.6130,0.0661,99.5878,2.5620
03/08/2025 00:00:00,155.6772,208.2421,201.2780,340.9095,0.8822,108.7874,0.0432,98.2409,2.5691
03/09/2025 00:00:00,148.4895,194.2677,184.7783,338.3163,0.7905,108.2206,0.0442,97.6823,2.5706
03/10/2025 00:00:00,179.4519,248.0193,238.4140,354.6365,1.0901,132.5183,0.0507,104.2742,2.5635
03/11/2025 00:00:00,197.6290,253.7188,250.2183,364.9026,1.1295,118.4336,0.0641,96.8173,83.7374
03/12/2025 00:00:00,196.7751,248.1514,237.0723,366.3149,1.0891,129.3212,0.0637,98.8584,2.6166
03/13/2025 00:00:00,260.7064,339.3960,334.9481,397.8501,1.0555,141.2778,0.0917,81.3056,2.5763
03/14/2025 00:00:00,181.7659,227.4034,231.6727,339.4799,1.1113,147.5271,0.0795,90.8252,2.5912
03/15/2025 00:00:00,161.8770,204.8110,207.8552,356.6714,0.9508,155.8175,0.0881,98.2912,2.6162
03/16/2025 00:00:00,152.3364,191.2159,190.5787,329.2583,0.8369,112.8817,0.0410,91.4837,2.5460
03/17/2025 00:00:00,162.7640,203.1308,200.1811,331.2263,0.9090,102.5773,0.0371,93.7347,2.5570
03/18/2025 00:00:00,184.0797,227.7999,227.8865,348.4671,1.0147,127.4211,0.0558,96.9314,2.5601
03/19/2025 00:00:00,194.9337,242.5535,233.4143,360.6830,1.0740,143.1591,0.0613,99.7259,2.5936
03/20/2025 00:00:00,185.4346,218.3754,223.0877,356.6465,1.0706,158.8418,0.0747,113.4898,2.5752
03/21/2025 00:00:00,273.9768,345.1296,347.2403,396.3948,1.2083,163.4524,0.0886,99.1927,2.5790
03/22/2025 00:00:00,171.0240,212.5388,214.6609,348.4305,1.0658,162.5603,0.0773,91.5329,2.6014
03/23/2025 00:00:00,155.3658,189.4641,189.6551,332.9372,0.8260,122.2994,0.0516,89.1500,2.5881
03/24/2025 00:00:00,172.5799,216.5170,217.6312,358.4888,0.9790,140.8059,0.0621,94.7680,2.5983
03/25/2025 00:00:00,185.6473,228.7851,235.6031,356.3076,1.0863,155.0646,0.0744,102.2031,2.5849
03/26/2025 00:00:00,202.9541,260.9028,260.9681,370.8764,1.1633,140.0180,0.0625,114.9677,2.5971
03/27/2025 00:00:00,189.7121,239.4773,241.5159,351.3985,1.1460,139.8119,0.0661,116.7953,2.5794
03/28/2025 00:00:00,186.7241,225.8766,231.0263,362.2311,0.9705,136.7722,0.0638,97.4991,2.6071
03/29/2025 00:00:00,277.2621,380.1776,369.5122,415.7444,1.2326,130.1675,0.0783,75.9279,84.8287
03/30/2025 00:00:00,159.5574,201.8806,198.5203,344.9654,0.8658,113.3908,0.0408,79.3907,2.4583
03/31/2025 00:00:00,200.6787,255.5127,240.6356,362.9457,0.9806,137.1166,0.0566,113.2634,2.6089
04/01/2025 00:00:00,222.7542,275.9082,269.6553,367.0089,1.1344,144.5516,0.0785,104.9935,73.9170
04/02/2025 00:00:00,122.9967,125.1430,127.2827,201.8635,0.6099,70.2318,0.0382,63.2123,1.3684
