Time Bucket (Europe/London),Dalys Seafoods-Mains_A (kWhs),Dalys Seafoods-Mains_B (kWhs),Dalys Seafoods-Mains_C (kWhs),Dalys Seafoods-Room/Multi-use Circuit-Sheds & Container Cold Rooms (kWhs),Dalys Seafoods-Other-Slicing Room (kWhs),Dalys Seafoods-Other-Big Freezer (kWhs),Dalys Seafoods-Other-Finished Smoked Cold Room (kWhs),Dalys Seafoods-Other-Big Cold Room (kWhs),Dalys Seafoods-Other-Smoker (kWhs)
03/04/2025 16:00:00,8.0182,9.7167,9.6600,14.0652,0.0460,6.9926,0.0051,6.3451,0.1082
03/04/2025 17:00:00,7.4681,9.4405,8.9190,14.5673,0.0445,6.9475,0.0038,3.6481,0.1127
03/04/2025 18:00:00,7.1675,9.6949,9.1529,14.0784,0.0450,6.7247,0.0038,3.6780,0.1093
03/04/2025 19:00:00,6.9890,8.6923,8.4324,14.0778,0.0360,4.2587,0.0027,4.3551,0.1069
03/04/2025 20:00:00,6.7733,8.4937,8.1851,13.7287,0.0363,4.1401,0.0016,3.5243,0.1090
03/04/2025 21:00:00,8.5235,11.0281,10.8873,14.3106,0.0471,4.2920,0.0021,4.2631,0.1114
03/04/2025 22:00:00,7.0001,8.6068,8.2698,13.9044,0.0358,4.0950,0.0019,3.6837,0.1078
03/04/2025 23:00:00,7.0657,8.7167,8.6666,14.1317,0.0363,3.9235,0.0020,4.2322,0.1058
03/05/2025 00:00:00,6.4993,7.7143,7.7528,13.1238,0.0341,3.9824,0.0022,3.3976,0.1061
03/05/2025 01:00:00,6.8811,7.6634,7.6849,13.6970,0.0332,3.4094,0.0015,3.4422,0.1084
03/05/2025 02:00:00,6.6582,8.7584,8.9165,13.9273,0.0435,6.0053,0.0049,3.5801,0.1109
03/05/2025 03:00:00,7.3782,9.6664,9.8291,13.6028,0.0537,8.0025,0.0062,5.0416,0.1133
03/05/2025 04:00:00,6.9106,9.0558,8.9040,14.4510,0.0410,4.9986,0.0017,4.0674,0.1110
03/05/2025 05:00:00,8.0512,10.1811,10.3393,13.2112,0.0457,4.1612,0.0007,3.4286,0.1087
03/05/2025 06:00:00,7.0329,8.5420,8.9868,13.5669,0.0392,4.2803,0.0023,3.8697,0.1032
03/05/2025 07:00:00,6.6088,8.0740,10.8280,13.2282,0.0477,3.5315,0.0012,3.6871,0.1001
03/05/2025 08:00:00,8.8250,12.8664,15.6755,15.6884,0.0652,4.2345,0.0030,5.4228,0.1027
03/05/2025 09:00:00,10.5700,14.6527,16.4463,17.1838,0.0708,5.1744,0.0025,5.1194,0.1086
03/05/2025 10:00:00,10.4523,14.1676,16.0591,19.0348,0.0683,5.9877,0.0027,3.4877,0.1100
03/05/2025 11:00:00,9.9463,12.6613,12.5990,21.2018,0.0485,3.9992,0.0017,6.4878,0.1127
03/05/2025 12:00:00,9.6034,11.2311,11.2616,18.8518,0.0466,5.0926,0.0042,6.3751,0.1125
03/05/2025 13:00:00,11.0372,12.4552,14.4257,20.5695,0.0637,6.2026,0.0045,5.5527,0.1082
03/05/2025 14:00:00,11.9463,13.9652,14.5933,18.8695,0.0603,6.1519,0.0047,6.2762,0.1089
03/05/2025 15:00:00,10.1957,13.1264,13.1169,17.9362,0.0629,7.9954,0.0068,6.3549,0.1108
03/05/2025 16:00:00,8.3754,11.3345,9.9419,15.1381,0.0530,7.8557,0.0052,4.7662,0.1106
03/05/2025 17:00:00,7.6251,10.8184,8.3024,14.7927,0.0461,7.0861,0.0023,3.4053,0.1145
03/05/2025 18:00:00,7.8219,10.4792,8.5600,13.9819,0.0460,6.8736,0.0046,4.2348,0.1107
03/05/2025 19:00:00,7.6591,10.3470,8.4264,13.7352,0.0461,6.8223,0.0027,3.3719,0.1124
03/05/2025 20:00:00,7.9876,11.2192,9.4091,15.2968,0.0487,6.7869,0.0025,4.3615,0.1142
03/05/2025 21:00:00,7.7849,10.5140,9.0148,13.7607,0.0458,4.5086,0.0015,4.5623,0.1115
03/05/2025 22:00:00,8.3856,10.8780,9.5013,14.3288,0.0442,5.0884,0.0017,3.4874,0.1121
03/05/2025 23:00:00,7.1621,9.0891,8.0941,13.5498,0.0381,4.2999,0.0009,3.8166,0.1097
03/06/2025 00:00:00,7.1029,8.7585,7.7509,13.8077,0.0364,4.0758,0.0012,3.7434,0.1118
03/06/2025 01:00:00,7.8746,9.1804,8.3089,14.0792,0.0383,4.0419,0.0013,4.0170,0.1127
03/06/2025 02:00:00,6.5277,8.7448,7.5610,14.0768,0.0356,4.1614,0.0007,3.4314,0.1082
03/06/2025 03:00:00,7.1020,8.8652,8.9241,13.0368,0.0547,8.3030,0.0063,3.7092,0.1117
03/06/2025 04:00:00,7.6111,9.6969,9.4772,13.5011,0.0526,7.6196,0.0039,4.8853,0.1118
03/06/2025 05:00:00,7.2997,9.1303,8.6796,13.1529,0.0454,4.9149,0.0013,3.2297,0.1087
03/06/2025 06:00:00,8.2706,9.8314,10.1122,13.7673,0.0429,4.1870,0.0016,4.0443,0.1060
03/06/2025 07:00:00,7.0646,8.4924,10.6763,13.5439,0.0500,4.1806,0.0006,3.5934,0.1005
03/06/2025 08:00:00,7.4987,9.5356,12.9779,18.1791,0.0573,4.3371,0.0041,3.3321,0.1022
03/06/2025 09:00:00,7.5055,9.0560,9.8819,18.1165,0.0479,6.1787,0.0035,0.0497,0.1059
03/06/2025 10:00:00,5.9643,6.7596,7.6659,14.8605,0.0367,5.8917,0.0021,0.0443,0.1036
03/06/2025 11:00:00,7.4247,8.0466,8.0295,16.4157,0.0376,6.1372,0.0039,0.1413,0.1080
03/06/2025 12:00:00,8.7930,12.0475,11.4083,16.9213,0.0547,6.8482,0.0026,6.3675,0.1110
03/06/2025 13:00:00,9.1057,11.7102,13.9988,18.3760,0.0674,6.0253,0.0028,4.3496,0.1079
03/06/2025 14:00:00,10.5320,13.8865,16.3249,22.1077,0.0744,6.3045,0.0055,3.2934,0.1075
03/06/2025 15:00:00,8.1076,10.7029,9.9951,16.7026,0.0489,6.7728,0.0017,4.6838,0.1104
03/06/2025 16:00:00,7.8284,10.1180,9.8326,15.1615,0.0578,9.0896,0.0095,4.9044,0.1113
03/06/2025 17:00:00,7.5006,10.2833,9.0437,14.8847,0.0465,6.9108,0.0023,4.2782,0.1080
03/06/2025 18:00:00,7.4579,10.0702,8.8445,14.8417,0.0456,6.6447,0.0029,4.4010,0.1077
03/06/2025 19:00:00,6.9491,9.0855,7.8872,15.0516,0.0362,4.4959,0.0016,3.6854,0.1108
03/06/2025 20:00:00,7.2850,9.4696,8.2577,15.2400,0.0348,3.3224,0.0011,4.5835,0.1110
03/06/2025 21:00:00,6.7782,8.9940,7.7166,15.0687,0.0357,3.4731,0.0011,3.5402,0.1106
03/06/2025 22:00:00,8.3896,11.2526,10.2956,15.0599,0.0461,3.9073,0.0014,5.0659,0.1115
03/06/2025 23:00:00,7.2351,9.2970,8.6234,14.5662,0.0375,3.9917,0.0007,4.4489,0.1091
03/07/2025 00:00:00,6.8363,8.6966,8.0766,13.6748,0.0371,4.2987,0.0004,3.5323,0.1107
03/07/2025 01:00:00,9.7829,12.9570,12.2679,17.4370,0.0367,3.2122,0.0008,4.3801,0.1104
03/07/2025 02:00:00,12.6385,17.8552,17.3482,16.3135,0.0331,3.1941,0.0002,3.7256,0.1038
03/07/2025 03:00:00,12.8584,17.5563,17.2851,15.9765,0.0330,3.2974,0.0004,3.8889,0.1045
03/07/2025 04:00:00,13.3823,19.1182,19.2089,15.2635,0.0600,8.9542,0.0069,4.6145,0.1097
03/07/2025 05:00:00,14.2892,19.5464,18.7143,15.4624,0.0506,6.6508,0.0013,4.1257,0.1068
03/07/2025 06:00:00,13.4546,18.2031,18.1101,14.7890,0.0435,3.2162,0.0010,3.1543,0.1023
03/07/2025 07:00:00,12.7807,18.5949,19.8875,15.5385,0.0480,3.5697,0.0009,4.1100,0.0998
03/07/2025 08:00:00,12.3243,18.9174,21.1428,16.4817,0.0553,3.5295,0.0035,4.2698,0.1024
03/07/2025 09:00:00,12.8158,17.4820,18.1193,16.3227,0.0454,6.6976,0.0032,4.0978,0.0995
03/07/2025 10:00:00,11.5343,14.4600,13.6832,18.4098,0.0145,5.4869,0.0018,0.0363,0.1075
03/07/2025 11:00:00,11.2087,14.1792,13.7954,18.5006,0.0204,5.7770,0.0020,1.0597,0.1066
03/07/2025 12:00:00,10.9356,13.9037,14.0152,15.9447,0.0262,6.3260,0.0022,6.1041,0.1030
03/07/2025 13:00:00,8.0493,9.5406,10.9188,15.4909,0.0356,6.2399,0.0022,7.7230,0.1057
03/07/2025 14:00:00,9.0784,9.7468,9.9550,14.4219,0.0410,5.2219,0.0025,7.0213,0.1041
03/07/2025 15:00:00,8.7056,10.2142,10.1641,15.9242,0.0433,6.9402,0.0034,4.7849,0.1059
03/07/2025 16:00:00,8.3892,10.0713,9.6371,15.4122,0.0486,6.9369,0.0048,4.7554,0.1083
03/07/2025 17:00:00,7.3985,9.6751,9.3774,14.5116,0.0507,8.5312,0.0089,4.1846,0.1106
03/07/2025 18:00:00,7.9002,9.8707,9.2958,14.3249,0.0496,7.9864,0.0076,3.4231,0.1113
03/07/2025 19:00:00,7.4930,10.1619,9.2304,15.0753,0.0467,7.0799,0.0034,4.1140,0.1107
03/07/2025 20:00:00,7.1953,9.8263,8.9359,13.7467,0.0468,6.9469,0.0025,4.1560,0.1108
03/07/2025 21:00:00,7.7994,10.4314,9.5357,15.2115,0.0478,6.8913,0.0030,4.1803,0.1122
03/07/2025 22:00:00,7.6743,10.3963,9.6834,13.5726,0.0530,6.7646,0.0023,4.5237,0.1102
03/07/2025 23:00:00,7.4484,9.5781,9.4978,14.0259,0.0383,3.8635,0.0009,3.6226,0.1051
03/08/2025 00:00:00,6.6702,8.4246,8.2174,13.3803,0.0364,4.1092,0.0007,4.0823,0.1070
03/08/2025 01:00:00,6.7887,8.4749,8.0586,14.4956,0.0361,4.1177,0.0008,4.2026,0.1095
03/08/2025 02:00:00,6.3627,8.6627,8.1064,13.9074,0.0356,4.0769,0.0007,3.8432,0.1096
03/08/2025 03:00:00,6.2243,8.2570,7.6119,14.3782,0.0344,4.1338,0.0005,3.7233,0.1097
03/08/2025 04:00:00,6.0855,8.5671,8.0020,13.3140,0.0379,4.2256,0.0007,4.4774,0.1071
