Time Bucket (Europe/London),Dalys Seafoods-Mains_A (kWatts),Dalys Seafoods-Mains_B (kWatts),Dalys Seafoods-Mains_C (kWatts),Dalys Seafoods-Room/Multi-use Circuit-Sheds & Container Cold Rooms (kWatts),Dalys Seafoods-Other-Slicing Room (kWatts),Dalys Seafoods-Other-Big Freezer (kWatts),Dalys Seafoods-Other-Finished Smoked Cold Room (kWatts),Dalys Seafoods-Other-Big Cold Room (kWatts),Dalys Seafoods-Other-Smoker (kWatts)
03/26/2025 11:01:00,8.3784,11.5881,10.1409,13.2255,0.0437,7.3366,0.0000,2.4744,0.1065
03/26/2025 11:02:00,8.0708,11.1859,9.6847,11.6370,0.0427,7.3067,0.0002,2.4747,0.1052
03/26/2025 11:03:00,8.1532,11.3149,9.8077,12.7580,0.0404,7.2779,0.0003,2.4678,0.1059
03/26/2025 11:04:00,8.0268,11.2801,9.7934,11.5896,0.0410,7.2276,0.0001,2.4622,0.1047
03/26/2025 11:05:00,7.5727,10.7866,9.2764,11.6039,0.0391,7.2110,0.0001,2.4693,0.1043
03/26/2025 11:06:00,8.6749,12.1251,10.9227,16.3778,0.0412,7.1977,0.0002,2.4651,0.1087
03/26/2025 11:07:00,8.8409,12.1518,10.3615,17.6459,0.0403,7.1682,0.0002,2.4614,0.1090
03/26/2025 11:08:00,9.1820,12.7538,11.0626,16.8386,0.0477,7.1325,0.0002,2.4426,0.1097
03/26/2025 11:09:00,8.5748,12.1183,10.8182,15.1531,0.0476,7.1359,0.0000,2.4470,0.1061
03/26/2025 11:10:00,8.9999,12.3205,11.0723,15.4260,0.0477,7.1174,0.0002,2.4478,0.1050
03/26/2025 11:11:00,8.5302,11.7418,10.9348,13.9390,0.0469,7.1349,0.0001,2.4517,0.1043
03/26/2025 11:12:00,8.9297,12.1627,11.1595,15.1014,0.0477,7.2919,0.0010,2.4564,0.1046
03/26/2025 11:13:00,12.1633,16.5982,15.6750,26.1269,0.0608,7.2816,0.0062,4.5525,0.1126
03/26/2025 11:14:00,14.9782,19.0209,18.4045,22.3507,0.0683,7.2202,0.0057,9.3338,0.1133
03/26/2025 11:15:00,15.5280,19.2826,19.2718,20.7340,0.0703,7.1839,0.0057,9.3915,0.1121
03/26/2025 11:16:00,14.5055,17.8248,18.3508,15.3301,0.0662,7.1757,0.0048,9.4165,0.1104
03/26/2025 11:17:00,14.9350,18.3743,18.6262,17.6812,0.0658,7.1178,0.0045,9.3478,0.1107
03/26/2025 11:18:00,13.4471,16.2340,16.3822,15.1647,0.0566,7.1241,0.0039,9.4201,0.1088
03/26/2025 11:19:00,11.7705,14.2654,13.7421,15.3486,0.0511,7.1557,0.0044,9.5072,0.1098
03/26/2025 11:20:00,11.9089,14.3102,14.3047,16.5406,0.0515,7.1280,0.0044,9.4711,0.1097
03/26/2025 11:21:00,12.3845,14.8954,14.5847,16.7422,0.0552,7.1156,0.0041,9.4562,0.1109
03/26/2025 11:22:00,11.3975,13.3669,12.9835,14.6475,0.0490,7.1324,0.0031,9.5222,0.1093
03/26/2025 11:23:00,9.7367,11.4619,11.0654,8.3164,0.0474,7.1513,0.0015,9.5639,0.1087
03/26/2025 11:24:00,9.8216,11.7109,10.7653,10.4062,0.0439,7.1487,0.0010,9.6085,0.1095
03/26/2025 11:25:00,8.9915,10.6661,9.8475,5.5192,0.0447,7.1723,0.0006,9.6680,0.1093
03/26/2025 11:26:00,8.7208,10.9586,10.3582,7.1835,0.0436,7.1521,0.0004,9.6100,0.1074
03/26/2025 11:27:00,9.3783,13.1150,12.3496,16.2503,0.0489,7.0977,0.0003,9.5234,0.1107
03/26/2025 11:28:00,9.2172,12.7469,11.7820,12.5794,0.0442,7.1110,0.0002,9.5872,0.1102
03/26/2025 11:29:00,8.7542,11.5754,10.5228,11.6800,0.0327,6.2134,0.0002,9.6586,0.1115
03/26/2025 11:30:00,10.3966,13.5300,12.4562,16.0485,0.0394,7.1420,0.0011,9.5392,0.1122
03/26/2025 11:31:00,12.1737,16.0048,15.0070,19.6703,0.0518,7.1192,0.0013,9.3939,0.1115
03/26/2025 11:32:00,10.5053,14.1130,13.1032,18.7994,0.0463,7.1029,0.0013,9.4707,0.1114
03/26/2025 11:33:00,10.5742,14.0679,13.4505,19.2366,0.0463,7.1054,0.0015,9.4868,0.1118
03/26/2025 11:34:00,13.7678,18.3421,16.9522,27.0494,0.0577,7.0084,0.0057,9.2968,0.1134
03/26/2025 11:35:00,14.3105,18.8268,17.6716,28.2361,0.0615,6.9934,0.0072,9.2796,0.1139
03/26/2025 11:36:00,12.7371,16.7141,15.7467,26.2561,0.0560,7.0277,0.0060,9.3718,0.1127
03/26/2025 11:37:00,9.6741,12.4362,11.3184,16.9288,0.0392,5.4615,0.0001,9.5329,0.1064
03/26/2025 11:38:00,10.4521,12.6199,11.9639,22.4062,0.0257,0.7676,0.0000,9.5377,0.1082
03/26/2025 11:39:00,10.1753,12.0857,11.3421,20.4822,0.0234,0.3895,0.0000,9.5827,0.1101
03/26/2025 11:40:00,11.6176,13.9157,13.3725,22.1248,0.0406,6.0106,0.0032,9.3829,0.1118
03/26/2025 11:41:00,12.2574,15.2461,14.6485,24.3421,0.0501,7.4111,0.0056,5.9623,0.1092
03/26/2025 11:42:00,11.6674,14.5572,13.7039,26.2902,0.0473,7.2730,0.0072,2.4638,0.1094
03/26/2025 11:43:00,10.2842,12.1512,11.4894,21.0237,0.0356,7.2826,0.0025,2.4923,0.1107
03/26/2025 11:44:00,14.2436,16.5751,16.8243,21.8653,0.0556,7.1093,0.0053,2.4240,0.1096
03/26/2025 11:45:00,14.8010,17.1870,17.2757,23.7612,0.0574,7.0954,0.0056,2.4203,0.1103
03/26/2025 11:46:00,13.3182,14.7020,14.8513,22.2400,0.0426,7.1003,0.0049,2.4483,0.1046
03/26/2025 11:47:00,12.8404,14.0139,13.9098,21.9848,0.0376,7.0945,0.0053,2.4474,0.1041
03/26/2025 11:48:00,10.4438,11.0174,10.6943,22.6936,0.0305,7.1275,0.0058,2.4834,0.1093
03/26/2025 11:49:00,12.2346,14.1783,13.3992,24.1764,0.0453,7.0557,0.0040,2.4535,0.1101
03/26/2025 11:50:00,11.3364,13.0781,12.4400,19.6112,0.0441,7.0527,0.0028,2.4608,0.1082
03/26/2025 11:51:00,9.2664,10.2734,9.5965,13.6214,0.0352,7.1152,0.0021,2.4966,0.1035
03/26/2025 11:52:00,7.8822,8.7127,7.6890,9.4912,0.0317,7.3202,0.0003,2.5132,0.1038
03/26/2025 11:53:00,7.2733,8.1215,6.9756,12.0831,0.0236,2.7424,0.0001,2.5192,0.1038
03/26/2025 11:54:00,7.5787,8.4691,7.2334,11.6644,0.0209,2.4984,0.0005,2.5150,0.1037
03/26/2025 11:55:00,11.0041,13.2745,12.1432,22.1110,0.0496,7.3729,0.0037,2.4611,0.1133
03/26/2025 11:56:00,11.1757,13.6232,12.3911,22.1312,0.0492,7.4214,0.0033,2.7972,0.1131
03/26/2025 11:57:00,12.1522,15.0811,13.8479,22.2797,0.0509,7.3114,0.0029,9.3178,0.1131
03/26/2025 11:58:00,12.7284,16.5586,15.2398,26.7611,0.0532,7.2392,0.0051,9.6441,0.1140
03/26/2025 11:59:00,14.1555,18.5009,17.0134,31.6886,0.0577,7.1844,0.0115,9.5254,0.1149
03/26/2025 12:00:00,13.9692,18.2757,16.6264,32.1024,0.0539,7.2652,0.0122,9.5253,0.1153
03/26/2025 12:01:00,12.3287,15.9685,14.3079,25.9011,0.0467,7.3954,0.0040,9.6189,0.1141
03/26/2025 12:02:00,13.0920,16.7630,15.2685,29.2197,0.0476,7.3156,0.0078,9.6259,0.1159
03/26/2025 12:03:00,13.4399,16.8213,15.6891,32.1916,0.0440,5.1592,0.0100,9.6152,0.1158
03/26/2025 12:04:00,11.4134,14.2913,12.7775,29.0453,0.0271,2.1024,0.0038,9.6928,0.1146
03/26/2025 12:05:00,11.0750,14.0031,13.1680,21.2490,0.0474,7.9929,0.0040,9.6698,0.1089
03/26/2025 12:06:00,10.2448,12.7712,12.3804,18.4044,0.0451,7.4236,0.0031,9.7085,0.1054
03/26/2025 12:07:00,9.1831,11.2788,10.8009,15.1113,0.0390,7.4029,0.0020,9.7439,0.1062
03/26/2025 12:08:00,10.6976,13.4846,12.9839,18.0333,0.0514,7.3573,0.0018,9.6383,0.1095
03/26/2025 12:09:00,10.1523,12.7867,12.0913,18.3367,0.0441,7.3418,0.0027,9.7014,0.1078
03/26/2025 12:10:00,12.6727,16.4656,15.5498,28.8858,0.0557,7.2533,0.0093,9.5643,0.1139
03/26/2025 12:11:00,11.8374,15.2293,14.2675,24.9009,0.0490,7.3930,0.0049,9.6255,0.1124
03/26/2025 12:12:00,12.1754,15.3418,14.2994,25.3323,0.0433,7.4008,0.0052,9.6061,0.1137
03/26/2025 12:13:00,10.0653,12.3537,11.2578,19.5534,0.0318,7.4636,0.0042,9.7174,0.1140
03/26/2025 12:14:00,11.9846,13.7900,13.0215,24.3880,0.0382,7.4266,0.0070,9.6511,0.1130
03/26/2025 12:15:00,15.7948,18.6495,18.7671,23.3380,0.0577,7.2932,0.0068,9.4440,0.1112
03/26/2025 12:16:00,14.3434,16.3423,16.4902,20.2628,0.0482,7.3502,0.0070,9.5696,0.1084
03/26/2025 12:17:00,14.8174,17.7203,18.0489,19.3211,0.0608,7.2930,0.0066,9.2439,0.1087
03/26/2025 12:18:00,14.7918,17.8137,18.1154,18.8446,0.0632,7.1939,0.0061,9.0754,0.1076
03/26/2025 12:19:00,14.0049,16.9397,16.9638,19.5337,0.0546,7.1524,0.0057,9.0988,0.1068
