Time Bucket (Europe/London),Dalys Seafoods-Mains_A (kWatts),Dalys Seafoods-Mains_B (kWatts),Dalys Seafoods-Mains_C (kWatts),Dalys Seafoods-Room/Multi-use Circuit-Sheds & Container Cold Rooms (kWatts),Dalys Seafoods-Other-Slicing Room (kWatts),Dalys Seafoods-Other-Big Freezer (kWatts),Dalys Seafoods-Other-Finished Smoked Cold Room (kWatts),Dalys Seafoods-Other-Big Cold Room (kWatts),Dalys Seafoods-Other-Smoker (kWatts)
04/02/2025 09:43:13,15.4747,14.8373,15.1792,24.9849,0.0771,6.9810,0.0070,9.5012,0.1129
04/02/2025 09:43:14,15.4429,14.8454,15.1452,25.0665,0.0774,6.9745,0.0074,9.4807,0.1126
04/02/2025 09:43:15,15.4621,14.8809,15.0956,25.0653,0.0773,6.9762,0.0134,9.4873,0.1136
04/02/2025 09:43:16,16.1340,15.6977,15.9055,27.6045,0.0802,6.9467,0.0075,9.4223,0.1126
04/02/2025 09:43:17,15.8196,15.2763,15.5674,26.2960,0.0797,6.9762,0.0077,9.4894,0.1132
04/02/2025 09:43:18,15.7763,15.1987,15.4168,26.0257,0.0796,6.9758,0.0074,9.5044,0.1131
04/02/2025 09:43:19,15.9292,15.2489,15.3355,26.1172,0.0789,6.9717,0.0075,9.5126,0.1125
04/02/2025 09:43:20,15.7472,15.1591,15.3957,25.9286,0.0767,6.9670,0.0069,9.4917,0.1142
04/02/2025 09:43:21,15.7211,15.3339,15.3710,26.3189,0.0781,6.9687,0.0072,9.4906,0.1137
04/02/2025 09:43:22,15.8274,15.7319,15.2663,27.4182,0.0761,6.9696,0.0079,9.5001,0.1156
04/02/2025 09:43:23,15.8274,15.6536,15.2988,27.2722,0.0794,6.9727,0.0074,9.5061,0.1156
04/02/2025 09:43:24,15.7876,15.6489,15.3613,27.3320,0.0760,6.9795,0.0072,9.4910,0.1154
04/02/2025 09:43:25,15.7635,15.6499,15.2479,27.2445,0.0768,6.9717,0.0082,9.4903,0.1151
04/02/2025 09:43:26,15.8571,15.6285,15.2544,27.2425,0.0743,6.9704,0.0078,9.5017,0.1155
04/02/2025 09:43:27,15.8027,15.5376,15.3064,27.0636,0.0768,6.9669,0.0081,9.4852,0.1145
04/02/2025 09:43:28,15.7323,15.5567,15.2870,27.1005,0.0772,6.9635,0.0072,9.4683,0.1153
04/02/2025 09:43:29,15.8308,15.5324,15.1992,27.0638,0.0783,6.9500,0.0077,9.4637,0.1145
04/02/2025 09:43:30,15.8308,15.5324,15.1992,27.0638,0.0783,6.9500,0.0077,9.4637,0.1145
04/02/2025 09:43:31,15.8308,15.5324,15.1992,27.0638,0.0783,6.9500,0.0077,9.4637,0.1145
04/02/2025 09:43:32,16.3351,15.4063,15.2239,26.8447,0.0764,6.9412,0.0142,9.4235,0.1119
04/02/2025 09:43:33,15.8842,15.3914,15.1223,26.7890,0.0786,6.9479,0.0078,9.4418,0.1137
04/02/2025 09:43:34,15.6271,15.1057,14.9230,25.9600,0.0782,6.9512,0.0076,9.4658,0.1148
04/02/2025 09:43:35,15.6130,15.0535,15.0313,25.8881,0.0749,6.9614,0.0076,9.4743,0.1151
04/02/2025 09:43:36,15.6090,15.1615,14.9469,26.1132,0.0763,6.9557,0.0077,9.4515,0.1139
04/02/2025 09:43:37,15.5899,15.0829,14.9725,25.9135,0.0758,6.9590,0.0078,9.4444,0.1148
04/02/2025 09:43:38,15.5388,15.0674,14.9875,25.9238,0.0759,6.9474,0.0074,9.4497,0.1139
04/02/2025 09:43:39,15.5239,15.1368,14.9799,26.0575,0.0759,6.9534,0.0070,9.4575,0.1148
04/02/2025 09:43:40,15.5511,15.1025,14.9422,25.9166,0.0782,6.9507,0.0063,9.4522,0.1146
04/02/2025 09:43:41,14.8508,14.1647,14.2070,23.1365,0.0759,6.9817,0.0066,9.5067,0.1142
04/02/2025 09:43:42,14.6087,13.9366,14.0021,22.4030,0.0720,6.9795,0.0063,9.5339,0.1147
04/02/2025 09:43:43,14.6181,14.0417,13.9886,22.5896,0.0703,6.9785,0.0064,9.5425,0.1133
04/02/2025 09:43:44,14.6906,14.0388,13.9723,22.5757,0.0735,6.9796,0.0060,9.5347,0.1143
04/02/2025 09:43:45,14.6418,13.9445,14.0452,22.4055,0.0726,6.9807,0.0067,9.5331,0.1145
04/02/2025 09:43:46,14.8191,14.2564,14.3238,23.3380,0.0748,6.9745,0.0065,9.5234,0.1128
04/02/2025 09:43:47,15.2788,14.9044,14.8010,25.1769,0.0764,6.9699,0.0067,9.4968,0.1147
04/02/2025 09:43:48,14.9276,14.3857,14.2818,23.5627,0.0727,6.9876,0.0068,9.5311,0.1140
04/02/2025 09:43:49,14.9603,14.3310,14.3103,23.4463,0.0720,6.9919,0.0066,9.5367,0.1147
04/02/2025 09:43:50,14.9197,14.3380,14.3270,23.4480,0.0737,6.9898,0.0068,9.5524,0.1144
04/02/2025 09:43:51,14.9377,14.4107,14.3271,23.5993,0.0745,6.9922,0.0065,9.5564,0.1140
04/02/2025 09:43:52,14.9287,14.4083,14.2428,23.5183,0.0721,6.9923,0.0063,9.5533,0.1141
04/02/2025 09:43:53,14.9241,14.3255,14.4149,23.4251,0.0711,6.9939,0.0069,9.5540,0.1157
04/02/2025 09:43:54,14.9458,14.4285,14.3231,23.5949,0.0729,7.0010,0.0000,9.5671,0.1146
04/02/2025 09:43:55,14.9736,14.3463,14.3131,23.4090,0.0735,7.0027,0.0068,9.5819,0.1144
04/02/2025 09:43:56,15.0187,14.3438,14.3892,23.4709,0.0732,7.0119,0.0069,9.5795,0.1141
04/02/2025 09:43:57,15.0002,14.3469,14.3894,23.4358,0.0741,7.0213,0.0064,9.5837,0.1151
04/02/2025 09:43:58,14.9842,14.3867,14.3577,23.5327,0.0740,7.0210,0.0073,9.5822,0.1154
04/02/2025 09:43:59,14.9972,14.4150,14.3245,23.5072,0.0744,7.0193,0.0066,9.5937,0.1158
04/02/2025 09:44:00,14.9809,14.3327,14.3779,23.3770,0.0724,7.0205,0.0128,9.5881,0.1145
04/02/2025 09:44:01,14.9709,14.3125,14.4285,23.3918,0.0749,7.0169,0.0072,9.5705,0.1156
04/02/2025 09:44:02,14.9078,14.3210,14.3077,23.3662,0.0722,7.0131,0.0065,9.5664,0.1151
04/02/2025 09:44:03,14.9867,14.3673,14.3516,23.4462,0.0745,7.0254,0.0124,9.5842,0.1145
04/02/2025 09:44:04,14.9998,14.3129,14.3570,23.3411,0.0754,7.0278,0.0071,9.5813,0.1145
04/02/2025 09:44:05,14.7106,13.9439,14.1770,22.3891,0.0739,7.0284,0.0060,9.5794,0.1147
04/02/2025 09:44:06,14.7048,13.9827,14.1401,22.4566,0.0729,7.0274,0.0063,9.5799,0.1141
04/02/2025 09:44:07,14.6943,13.9907,14.1057,22.3969,0.0727,7.0312,0.0000,9.6010,0.1144
04/02/2025 09:44:08,14.7546,14.0494,14.1565,22.5230,0.0722,7.0357,0.0065,9.6009,0.1147
